com.samsung.health.exercise,6040047,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,vo2_max,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,8e8f3e09-3b26-43d8-b290-e98a817a667a.live_data.json,,954.88,,,,,rUH8SYH2sd,817146,55:00.2,8e8f3e09-3b26-43d8-b290-e98a817a667a,,,,,,,,55:00.2,UTC-0700,1.1685548,,,,,,46:37.0,1.25,1001,33:00.0,,com.sec.android.app.shealth,,,42.98,,,,
,b6ecc52a-f50a-4df3-b31a-89cd3480854b.live_data.json,,1035.37,,,,,rUH8SYH2sd,926185,37:26.5,b6ecc52a-f50a-4df3-b31a-89cd3480854b,,,,,,,,37:26.5,UTC-0700,1.1178868,,,,,,36:26.0,1.2281666,1001,21:00.0,,com.sec.android.app.shealth,,,46.53,,,,
,e4100f72-9979-42f7-a1d2-7339f540e30c.live_data.json,,1079.45,,,,,rUH8SYH2sd,918308,45:20.0,e4100f72-9979-42f7-a1d2-7339f540e30c,,,,,,,,45:20.0,UTC-0700,1.1754771,,,,,,44:20.0,1.3275,1001,29:01.0,,com.sec.android.app.shealth,,,51.94,,,,
,0d0c01e7-ca3b-4a92-8cab-970e5364788d.live_data.json,,1165.44,,,,,rUH8SYH2sd,1012684,04:59.8,0d0c01e7-ca3b-4a92-8cab-970e5364788d,,,,,,,,04:59.8,UTC-0700,1.1508427,,,,,,03:53.0,1.4722222,1001,47:00.0,,com.sec.android.app.shealth,,,51.66,,,,
,aaf723cf-846f-4d1f-a8bd-b30b189e9790.live_data.json,,899.11,,,,,rUH8SYH2sd,790843,02:20.3,aaf723cf-846f-4d1f-a8bd-b30b189e9790,,,,,,,,02:20.3,UTC-0700,1.1369007,,,,,,52:10.0,1.7777778,1001,39:00.0,,com.sec.android.app.shealth,,,43.04,,,,
,a058328a-41d3-4bb5-a28b-371e1f49241a.live_data.json,,789.27997,,,,,rUH8SYH2sd,701641,47:41.5,a058328a-41d3-4bb5-a28b-371e1f49241a,,,,,,,,47:41.5,UTC-0700,1.1249057,,,,,,46:41.0,1.2623333,1001,35:00.0,,com.sec.android.app.shealth,,,36.329998,,,,
,a7f5f5b3-13a0-46b1-9ff6-7a99a5879688.live_data.json,,1002.57996,,,,,rUH8SYH2sd,819400,46:45.6,a7f5f5b3-13a0-46b1-9ff6-7a99a5879688,,,,,,,,46:45.6,UTC-0700,1.2235539,,,,,,43:47.0,1.3288984,1001,30:08.0,,com.sec.android.app.shealth,,,48.11,,,,
,ec8e9deb-ec6b-4156-84a1-fd3839e74432.live_data.json,,904.5,,,,,rUH8SYH2sd,878679,12:48.1,ec8e9deb-ec6b-4156-84a1-fd3839e74432,,,,,,,,12:48.1,UTC-0700,1.0293862,,,,,,08:38.0,1.3611112,1001,54:00.0,,com.sec.android.app.shealth,,,41.38,,,,
,4d57aae4-ff66-446b-be51-90defb642a15.live_data.json,,891.55,,,,,rUH8SYH2sd,765571,48:01.5,4d57aae4-ff66-446b-be51-90defb642a15,,,,,,,,48:01.5,UTC-0700,1.1645555,,,,,,46:50.0,1.1666666,1001,34:05.0,,com.sec.android.app.shealth,,,41.02,,,,
,450230a2-faea-47e0-9b3a-a2d26256718f.live_data.json,,820.89,,,,,rUH8SYH2sd,743769,41:25.0,450230a2-faea-47e0-9b3a-a2d26256718f,,,,,,,,41:25.0,UTC-0700,1.1036894,,,,,,40:24.0,1.2222222,1001,28:00.0,,com.sec.android.app.shealth,,,39.84,,,,
